Quantity,Supplier Part Number 1,Designator,Comment,Description,Footprint

"15","732-7965-1-ND","C1, C2, C3, C4, C5, C6, C7, C8, C9, C16, C17, C18, C19, C20, C21","Capacitor","Capacitor","0603-CAP"
"6","1276-2891-1-ND","C10, C11, C12, C13, C14, C15","Capacitor","Capacitor","0805-CAP"
"4","102-6385-ND","CON1, CON2, CON3, CON4","TBL003-254-02GR-2OR","TERMINAL BLOCK, SCREWLESS, 2.54,","TBL003-254-02GR-2OR"
"2","WM13967-ND","CON5, CON6","0395430004","TERM BLK 4POS SIDE ENTRY 5MM PCB","0395430004"
"1","609-6533-ND","CON7","20021521-00010D4LF","CONN HEADER SMD 10POS 1.27MM","20021521-00010D4LF"
"2","1727-3876-1-ND","D1, D2","PMEG4005EH,115","DIODE SCHOTTKY 40V 500MA SOD123F","SODFL350X120-2N"
"4","732-4978-1-ND","LED1, LED2, LED3, LED4","LED","","0603-LED"
"4","311-1KLDCT-ND","R1, R2, R5, R6","Resistor","Resistor","0603-RES"
"4","YAG4536CT-ND","R3, R4, R7, R8","Resistor","Resistor","0603-RES"
"2","311-120HRCT-ND","R9, R10","Resistor","Resistor","0603-RES"
"1","2223-DS04-254-2-02BK-SMT-ND","SW1","DS04-254-2-02BK-SMT","DIP SWITCH, SPST, 2.54 PITCH, FL","DS04-254-2-02BK-SMT"
"16","36-5120-ND","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16","Test Point","Test Point","TP_1.6MM"
"1","497-18546-ND","U1","STM32F412RET6","IC MCU 32BIT 512KB FLASH 64LQFP","TSQFP50P1200X1200X160-64N"
"1","296-25894-1-ND","U2","ADS1232IPWR","IC ADC 24BIT SIGMA-DELTA 24TSSOP","TSOP65P640X120-24N"
"2","296-52699-1-ND","U3, U4","SN65HVD232QDR","IC TRANSCEIVER HALF 1/1 8SOIC","SOIC127P600X175-8N"
"1","AZ1117IH-5.0TRG1DICT-ND","U5","AZ1117IH-5.0TRG1","IC REG LINEAR 5V 1A SOT223","SOT230P700X180-4N"
"1","AZ1117IH-3.3TRG1DICT-ND","U6","AZ1117IH-3.3TRG1","IC REG LINEAR 3.3V 1A SOT223","SOT230P700X180-4N"
"1","MAX7375AXR805+TCT-ND","U7","MAX7375AXR805+T","MEMS OSC XO 8.0000MHZ CMOS SMD","SOT65P210X110-3N"
